epochs	time	RMSE_mean	RMSE_min	RMSE_max	MAE_mean	MAE_min	MAE_max	ABS_mean	ABS_min	ABS_max	REL_mean	REL_min	REL_max	R2_mean	R2_min	R2_max	RAE_mean	RAE_min	RAE_max	MAPE_mean	MAPE_min	MAPE_max	sMAPE_mean	sMAPE_min	sMAPE_max	EV_mean	EV_min	EV_max	U2_mean	U2_min	U2_max	
26	177,149	11,18525205	8,941792101	16,88416831	8,887459302	6,831838568	14,00058394	5,301472195	-3,688283592	12,34694445	0,185279492	-0,128900669	0,431509496	0,540590006	-0,016651608	0,714857507	63,17668644	48,56426435	99,52343766	31,0605033	23,87637875	48,93020255	32,22670649	27,31342216	43,66215371	0,386267608	0,103598617	1,009863248	0,362236865	0,289581918	0,546797531	
27	184,593	13,27576771	8,973961501	32,63330723	10,82736471	6,767801222	28,57502088	7,310284276	-1,640320444	28,00200552	0,255484837	-0,057327046	0,978633325	0,264357229	-2,797825319	0,712802133	76,96654374	48,10905357	203,126121	37,84021798	23,65257663	99,86594595	36,79221044	26,70128778	68,3508465	0,701870189	0,132376939	4,252583875	0,429938678	0,290623731	1,056836883	
28	191,029	12,32660045	8,463752259	33,16361506	9,997394346	6,342310919	29,63681656	6,566433403	-1,057753419	29,29519579	0,229488225	-0,036967093	1,023828627	0,34887318	-2,922261429	0,744530716	71,06668243	45,08444704	210,6739174	34,93958054	22,16554389	103,5767824	34,37032702	25,21545585	70,2864378	0,622502005	0,134653879	4,536943446	0,399199686	0,274100492	1,07401102	
29	197,569	11,45647964	8,561093271	18,16930096	9,141808746	6,442215541	15,61789069	5,789159508	-0,657027527	14,63501883	0,202323523	-0,022962249	0,511474692	0,507292806	-0,177305692	0,738620656	64,98473467	45,79462109	111,0200958	31,94942121	22,51469742	54,58247727	32,59473153	25,8252438	47,20325604	0,430546053	0,138617099	1,259462315	0,371020631	0,277252902	0,588416836	
30	202,988	10,65033227	8,152695392	16,1428402	8,384330813	6,059086558	13,82410084	4,52952293	-1,499114539	13,00485922	0,158300879	-0,052392085	0,454502754	0,583000247	0,070664127	0,762963493	59,60018727	43,07114087	98,2689039	29,3021353	21,17571194	48,31341728	31,10584071	26,08737293	43,52973291	0,339008372	0,12182389	0,990855852	0,34491337	0,264026846	0,522789456	
31	209,777	11,34457545	8,609007268	20,86646656	9,060417938	6,493538553	18,19631587	5,775868543	-2,479240313	17,42677017	0,201859022	-0,086646194	0,609042735	0,507707784	-0,55278252	0,735686738	64,40616644	46,15945177	129,348884	31,66497102	22,69406462	63,59373472	32,28434779	26,20902923	52,26502724	0,436039918	0,139825381	1,710815559	0,367396589	0,278804607	0,675765141	
32	216,452	11,38152387	8,843378606	18,869177	9,066349381	6,727732654	16,29311559	4,985695636	-3,777917334	15,42152107	0,174243516	-0,13203325	0,538961912	0,513715146	-0,269751465	0,721099532	64,44833022	47,82422533	115,8199458	31,68570064	23,51254225	56,94229965	33,38191987	26,62888891	48,6852745	0,409936934	0,107399867	1,37288287	0,368593171	0,286394775	0,611082477	
33	228,205	11,15284501	8,343640898	15,31960276	8,869230714	6,216189386	12,7888702	5,398647232	-1,573322449	11,62533228	0,188675632	-0,054985554	0,406290099	0,540766297	0,163034003	0,751730131	63,04710815	44,18790953	90,90994572	30,99679678	21,72476569	44,69542213	32,32085442	25,38720531	40,88242845	0,392236811	0,131538676	0,849587364	0,361187356	0,270210659	0,496128729	
34	230,028	10,28074157	8,826539351	16,67667189	8,051265171	6,744714564	13,94573674	4,479568523	-2,483961703	12,52165806	0,156555038	-0,0868112	0,437615508	0,612015216	0,008182939	0,722160666	57,23258333	47,94494159	99,13355518	28,13811461	23,57189179	48,73851878	29,91622685	26,67965347	43,32574554	0,313971364	0,110343755	1,003783372	0,332944093	0,285849432	0,540077713	
35	238,688	11,35047751	8,725103734	15,17804787	9,084354078	6,605646156	12,73852511	5,886710817	-3,389007974	11,61255237	0,205732814	-0,118441379	0,405843458	0,524620763	0,178429867	0,728509896	64,57631698	46,95637096	90,55206657	31,74862469	23,08586597	44,51947263	32,73885948	26,48605764	40,79397232	0,41673055	0,122559004	0,840917432	0,367587728	0,282564417	0,491544442	
36	244,949	10,91505525	8,652489862	16,9631592	8,644552775	6,533624157	14,53161685	5,549208738	0,61502235	13,57916177	0,193937559	0,021494224	0,474573874	0,56077619	-0,026186465	0,733009994	61,44998041	46,44440111	103,2982959	30,21157688	22,83415854	50,78609282	31,00984777	26,99070352	45,10828308	0,377694476	0,153392327	1,091391359	0,353486482	0,280212801	0,549355668	
37	252,328	11,50778687	8,288205385	21,35753621	9,195140797	6,138991007	18,47685727	6,490404187	0,025474175	17,69940387	0,226831104	0,000890289	0,618570925	0,499419213	-0,626728624	0,755018203	65,36384664	43,63914328	131,3431182	32,13580973	21,45496749	64,57419007	32,2305667	24,34792821	52,60850341	0,452492584	0,151541759	1,772954741	0,372682227	0,268415367	0,691668541	
38	257,715	10,68796868	8,651849044	16,91589936	8,437238101	6,442779079	14,34123031	5,042592798	0,650788399	13,18012559	0,176231997	0,0227442	0,460628083	0,576675239	-0,020476462	0,73304954	59,97627981	45,79862701	101,9449293	29,48703932	22,51666692	50,12071686	30,7551031	26,09654264	44,54452715	0,355983072	0,158006496	1,062427451	0,346132233	0,280192048	0,547825148	
39	264,67	10,69652326	8,730034418	14,44162023	8,431905301	6,602834307	11,84737131	5,230950776	-1,260458345	10,12161307	0,182814861	-0,044051364	0,353737087	0,58275024	0,256219742	0,728202963	59,93837149	46,93638287	84,21728152	29,46840188	23,07603892	41,4050071	30,92118469	26,484888	38,89044139	0,349546414	0,164547658	0,706367981	0,346409275	0,282724098	0,46769507	
40	272,733	11,80826214	8,553780528	23,25510495	9,492192701	6,442560617	19,78208848	6,311692206	-1,739127094	18,87083557	0,220585355	-0,060780208	0,659510925	0,458164951	-0,928632202	0,739066997	67,47544619	45,79707407	140,621381	33,17396713	22,51590342	69,13580175	33,38017613	25,75758712	54,40575554	0,492388462	0,125019556	2,050383135	0,382413185	0,277016077	0,753121725	
41	278,94	10,49800668	8,235551472	14,85968194	8,264918924	6,131458165	12,36460551	4,875639008	-1,491431994	11,04372822	0,170397181	-0,05212359	0,3859638	0,594586848	0,21253396	0,758120992	58,75134541	43,58559592	87,89405144	28,88480642	21,4286412	43,21267273	30,36107234	24,96165151	40,01444729	0,338050009	0,13104575	0,789985221	0,339980272	0,266710159	0,481234091	
42	285,638	10,33154172	8,415323807	13,74731965	8,073798834	6,280701999	11,38843121	4,602551056	-2,129905961	9,586493123	0,160853116	-0,074437417	0,335035347	0,612634633	0,326017115	0,747445873	57,39276434	44,64649877	80,95489646	28,2168668	21,9502288	39,80107173	29,81684599	25,68701265	37,85599525	0,312120318	0,117412525	0,655924914	0,334589267	0,272532126	0,445209992	
43	293,3	10,80720219	8,674017166	15,439833	8,531007206	6,55988371	12,96264516	4,900115824	-2,280862785	11,65904968	0,171252614	-0,079713159	0,407468478	0,565448203	0,149845215	0,731679805	60,64283941	46,63106768	92,14522855	29,81475003	22,92593223	45,30274278	31,18820579	26,0836571	41,2823762	0,362388013	0,1211223	0,865572272	0,349993637	0,280909967	0,500022412	
44	299,63	10,61079206	8,028840444	16,90293461	8,331367023	5,86808809	13,97008981	4,576106624	-1,882233955	12,61542159	0,159928918	-0,065781605	0,44089242	0,58293796	-0,018912826	0,770110857	59,22369308	41,71342435	99,30666946	29,1170338	20,50819737	48,82362955	30,98908559	23,472206	42,95412571	0,33975509	0,135749888	1,01783843	0,343632851	0,260015776	0,547405282	
45	304,402	10,49798475	8,282873597	16,39360811	8,268285011	6,038509065	13,84817377	5,03226126	0,475195869	12,82729815	0,175870923	0,016607472	0,448297228	0,585553589	0,041566679	0,755333295	58,77527331	42,92486534	98,44002683	28,89657045	21,1037963	48,39754902	30,11682723	23,92307371	43,58901915	0,352941282	0,157896498	0,993172287	0,339979562	0,268242696	0,53091063	
46	312,562	10,17704949	8,189187445	14,52347693	7,956640689	6,095779107	12,12423369	4,196343785	-1,11086552	11,16094974	0,146656705	-0,038823291	0,390060539	0,620233801	0,247764189	0,760836759	56,55994326	43,3319706	86,18536348	27,80741447	21,30394758	42,3726048	29,78609526	25,84275359	39,64432645	0,303370546	0,118855403	0,76771724	0,329586002	0,265208649	0,470346017	
47	317,961	10,6831807	8,340389232	16,81426655	8,415469315	6,230146681	14,26557542	5,258317458	-0,572733533	12,95413861	0,183771291	-0,020016285	0,452730135	0,579180714	-0,008251001	0,751923604	59,82153595	44,28712526	101,407135	29,41096027	21,77354461	49,85631295	30,47858402	24,9505461	44,18092492	0,35548421	0,126957513	1,045286087	0,345977173	0,270105353	0,544533747	
48	325,139	9,996149153	8,259963052	12,93914592	7,7915336	6,121787262	10,66296634	3,905923498	-1,69336062	9,043627564	0,136506898	-0,05918073	0,316062909	0,636564066	0,402931682	0,756684926	55,38627614	43,51685011	75,79791455	27,23038687	21,39484267	37,26566725	29,44262837	25,42758937	36,01379927	0,284500282	0,118727871	0,578915391	0,323727505	0,267500733	0,419037107	
49	332,801	10,5545996	8,08987951	17,94256088	8,308903882	5,878337944	15,58090568	4,999545401	0,831643241	14,76270596	0,174727547	0,029064839	0,515937189	0,582063425	-0,148105145	0,766602117	59,06401338	41,78628565	110,7571871	29,03852807	20,54401926	54,45321952	30,1509276	23,67109462	47,3793751	0,354454226	0,140430272	1,251589872	0,341813046	0,26199254	0,581073809	
50	338,46	10,06796678	8,400919616	13,8687405	7,841089116	6,304279128	11,27857559	4,28233797	-1,07048135	8,931303228	0,149662089	-0,037411918	0,312137321	0,631236585	0,31405886	0,748309708	55,73854254	44,81409728	80,17398551	27,40357689	22,03262778	39,41714075	29,23587536	25,39659082	37,42896557	0,293581563	0,118254758	0,636355275	0,326053334	0,272065643	0,449142233	
