h_neuron	time	RMSE_mean	RMSE_min	RMSE_max	MAE_mean	MAE_min	MAE_max	ABS_mean	ABS_min	ABS_max	REL_mean	REL_min	REL_max	R2_mean	R2_min	R2_max	RAE_mean	RAE_min	RAE_max	MAPE_mean	MAPE_min	MAPE_max	sMAPE_mean	sMAPE_min	sMAPE_max	EV_mean	EV_min	EV_max	U2_mean	U2_min	U2_max	
26	36,521	36,59962705	8,302645401	105,6644807	31,47667543	5,935004024	93,65410578	6,304930011	-57,28804949	93,55385089	0,220349025	-2,002142108	3,269584249	-6,091129771	-38,81721245	0,754163827	223,7525918	42,18909764	665,7421286	110,0068476	20,74205977	327,3088025	84,20107419	24,49206469	153,9286661	5,255800605	0,121341427	45,75233485	1,185287029	0,26888301	3,421967614	
27	37,169	17,58367792	8,339882178	48,83171553	14,79791735	6,018319945	43,3453519	4,800794395	-22,5327474	43,16694748	0,16778146	-0,787489935	1,508628134	-0,456720168	-7,503873089	0,751953767	105,1912985	42,78135057	308,1213216	51,71677811	21,03323798	151,4863135	54,03166037	24,48886323	127,5311966	1,224832901	0,113435489	9,777808969	0,569451304	0,270088932	1,581425924	
28	37,34	49,58969818	15,1680736	106,9277753	42,97250619	12,94062854	93,47766018	25,95496035	-80,83477858	93,27212733	0,907091784	-2,825069372	3,25973838	-10,50885897	-39,77499048	0,179509304	305,4709402	91,98872295	664,4878615	150,1832667	45,22579758	326,6921483	88,468672	41,65699295	158,7564041	10,3085474	0,295986309	45,9353844	1,60597336	0,491221423	3,462879687	
29	38,045	42,40079841	9,052244973	129,2694097	36,6358837	6,743616297	114,4400913	20,98024945	-58,1772675	114,3189199	0,73323217	-2,03321911	3,995296145	-8,487980329	-58,59424716	0,707769593	260,4269294	47,93713453	813,499732	128,0376031	23,56805349	399,9530925	81,60407996	25,64538323	147,0977331	9,138435095	0,142650516	68,36374719	1,373159249	0,293158959	4,186418468	
30	39,266	38,98215974	10,01844412	89,81840335	33,44688756	7,468515273	79,19260276	6,255400806	-71,40697667	79,06977293	0,218618045	-2,495580074	2,763384742	-6,916115313	-27,77023885	0,642057418	237,7578851	53,09009375	562,9422383	116,8924803	26,10148023	276,7677483	87,92826589	27,91733088	155,1193648	5,672918239	0,133758321	32,80912871	1,262445878	0,324449532	2,908788888	
31	44,34	34,5031253	8,330197679	82,6521044	29,52480905	6,073636886	72,93096042	7,605643084	-48,17080347	72,81233086	0,265807239	-1,683506331	2,544695358	-4,83379062	-23,36243186	0,752529508	209,8777097	43,17457217	518,4312256	103,1853309	21,22656342	254,8841305	86,3133479	24,8871223	147,6458211	4,85442457	0,131477479	27,81189911	1,117391356	0,269775297	2,676706709	
32	44,68	35,29044324	10,07317634	73,1054198	30,24445451	7,647309056	61,15762814	3,04036704	-59,93213898	59,67037955	0,106256836	-2,094549564	2,085401415	-4,799240084	-18,05951991	0,63813575	214,9933242	54,36105302	434,7402519	105,7003973	26,72634103	213,7378801	88,79548087	28,07644953	148,3958097	3,619816803	0,201594842	18,83292003	1,142888821	0,326222047	2,367535213	
33	45,82	35,50178279	8,405293425	103,9803883	30,29838501	6,077935815	91,16898819	12,01238081	-41,30262676	91,0070823	0,419816936	-1,443472573	3,18057803	-5,890526806	-37,55810451	0,748047562	215,3766903	43,2051312	648,0766194	105,8888773	21,24158762	318,6236429	80,47511003	24,14060126	139,8698085	6,206537011	0,155472139	43,6250286	1,1497331	0,272207289	3,367427908	
34	46,386	39,51441413	8,681186287	117,1584318	33,8084743	6,370359428	103,5284943	1,353101126	-58,67800556	103,4247544	0,047289108	-2,050719248	3,614559366	-7,391466799	-47,95081263	0,731236086	240,3282318	45,28383044	735,9344219	118,1561785	22,26356975	361,818494	94,14098871	24,62597389	146,2865367	6,101434028	0,178130749	56,01144205	1,279683054	0,281142141	3,794201765	
35	46,864	53,07973273	8,480096621	127,8658909	45,82585528	6,162216481	112,2253428	20,19589093	-76,09446668	112,035214	0,70581987	-2,659401695	3,915483622	-14,1036244	-57,30720508	0,743543089	325,7540306	43,80424204	797,7561473	160,1553471	21,53613748	392,2128374	97,64674025	24,57583942	158,2604906	14,17671925	0,115991155	66,06528978	1,718998902	0,274629807	4,140965201	
36	47,362	34,10826322	8,445206778	115,9017543	29,05844198	6,08515518	97,75943162	7,089498389	-96,87536811	68,76271914	0,24776866	-3,385666914	2,403166746	-6,64938151	-46,90632157	0,74564904	206,5625298	43,2564502	694,9249215	101,5554392	21,26681835	341,6563773	66,86752451	24,07446436	163,0192269	4,412864666	0,116529436	25,03989345	1,10460366	0,273499892	3,753503986	
37	48,488	60,33227132	9,461189383	105,8663079	52,31853596	7,164464004	92,56593263	26,49788903	-61,42021328	92,4196296	0,926066429	-2,146555807	3,229944704	-15,59530402	-38,96946554	0,680769574	371,9073842	50,92873908	658,0068275	182,8464136	25,03886097	323,5057802	98,59476761	26,78658247	150,9928248	15,18822205	0,193939075	45,05184023	1,953873971	0,306402714	3,428503832	
38	50,422	41,13061616	8,427965357	98,7440042	35,19445987	6,124877682	85,5651702	-0,130140245	-59,36140468	85,34553707	-0,004548231	-2,074603149	2,982714459	-7,613973391	-33,77236863	0,746686527	250,1805387	43,53881842	608,2417645	123,0000161	21,40564328	299,0390348	90,45931661	25,62589241	153,3004529	5,066177876	0,118526642	38,68971584	1,332024115	0,272941525	3,197846448	
39	49,96	31,32316187	8,756623137	97,61043627	26,63435811	6,452907017	85,68660032	3,406121885	-58,27044403	85,53950373	0,119039488	-2,036475507	2,989493339	-4,650056266	-32,97858693	0,726544839	189,33088	45,87062167	609,1049529	93,08358439	22,55206273	299,4634171	77,36447046	25,5869511	149,8324071	4,058459531	0,132925464	38,5091665	1,014407535	0,28358518	3,1611356	
40	49,32	34,45359981	8,992329951	99,65819605	29,48079755	6,656727044	88,76322744	12,45416747	-53,88036469	88,68208258	0,4352568	-1,883047999	3,099322343	-5,250675144	-34,41920828	0,711625222	209,5648531	47,3194805	630,9752198	103,0315165	23,26438696	310,2158249	78,80792791	25,2985327	144,2012418	5,637919527	0,144917673	40,98235129	1,115787461	0,291218597	3,227452754	
41	53,336	51,45282664	10,20590318	139,2442089	44,47240171	7,837047588	122,7316875	18,94422994	-72,98969523	122,538638	0,662075962	-2,55089401	4,282564501	-12,47851406	-68,14600455	0,628536887	316,1329782	55,70981326	872,4407134	155,4252046	27,38945228	428,9311325	92,31742093	28,72835656	156,170284	11,61157566	0,182447945	78,81672344	1,666311188	0,330520435	4,509454548	
