l_rate	time	RMSE_mean	RMSE_min	RMSE_max	MAE_mean	MAE_min	MAE_max	ABS_mean	ABS_min	ABS_max	REL_mean	REL_min	REL_max	R2_mean	R2_min	R2_max	RAE_mean	RAE_min	RAE_max	MAPE_mean	MAPE_min	MAPE_max	sMAPE_mean	sMAPE_min	sMAPE_max	EV_mean	EV_min	EV_max	U2_mean	U2_min	U2_max
0,025	8,906	14,61815186	10,82020835	37,47535138	11,58787629	8,337035466	32,85037477	4,614616847	-6,616903757	32,1764132	0,1612748	-0,231252098	1,124523393	0,106750251	-4,008460273	0,582473492	82,37265589	59,26398733	233,5175617	40,4981061	29,13684427	114,8077464	39,40670624	30,72536611	73,69928216	0,746426338	0,112893035	5,615381292	0,473412086	0,350414844	1,213647555
0,026	9,581	13,83665681	9,361529067	25,33833212	10,99030283	6,958937195	21,40966636	2,43935346	-10,0422084	17,99198729	0,0852522	-0,350961998	0,628796332	0,26270972	-1,289648705	0,68745944	78,12479275	49,46774755	152,1910517	38,40966534	24,32057176	74,82397275	42,30585744	27,60524591	74,59104211	0,519831485	0,110329294	2,284971003	0,448103196	0,303175192	0,820587498
0,027	8,879	16,84696922	9,304057974	29,7823574	13,74232124	6,862510531	25,53107282	8,739344334	-9,143285726	24,421914	0,305428609	-0,319545831	0,853513827	-0,146720245	-2,163231293	0,691285078	97,68757195	48,78229663	181,4881539	48,02760832	23,98357323	89,22774716	43,72728618	26,3742723	65,87135452	1,063053861	0,181001076	3,402599251	0,54559283	0,301313978	0,964508241
0,028	8,856	11,62709193	9,109567123	16,20250019	8,966644585	6,816709268	13,46067676	2,487253695	-7,114857188	11,92961877	0,086926251	-0,248654917	0,416924512	0,50647766	0,063782237	0,704056854	63,73957664	48,45671742	95,68549635	31,33724547	23,82350383	47,04329782	33,39857235	26,69297185	47,22103472	0,33394239	0,129402986	0,934201064	0,376545948	0,295015349	0,524721558
0,029	8,813	18,34001283	9,400798957	45,33166392	14,99652821	6,981026719	38,82178004	9,380957449	-9,6824533	38,062708	0,327852145	-0,338389029	1,330241667	-0,546606401	-6,328517459	0,68483184	106,6031278	49,62477138	275,9654183	52,41089698	24,39777174	135,6770238	45,69712232	27,34242255	79,16573169	1,480960757	0,137094299	7,960255448	0,593945378	0,304446957	1,468075977
0,03	8,776	13,53787738	9,459482922	22,86031451	10,71401919	7,109222275	19,44207574	4,908332302	-8,833283393	17,95360517	0,171539769	-0,308711656	0,627454927	0,304575415	-0,863705163	0,680884719	76,16082478	50,53605212	138,2043935	37,44409026	24,84579838	67,9475019	38,13484553	26,99849907	63,9845047	0,54722087	0,152072892	1,952621812	0,438427158	0,30634745	0,740336349
0,031	8,996	13,30032253	9,100584794	33,29690983	10,47022105	6,854582739	29,44077372	3,83422337	-8,821413284	29,08379037	0,134001072	-0,308296811	1,016440285	0,268108405	-2,953854343	0,704640185	74,42778072	48,72594176	209,2803428	36,59204778	23,95586664	102,8916384	38,39578022	26,64988087	69,73000171	0,585117496	0,136347265	4,504385714	0,430733891	0,294724454	1,0783278
0,032	9,064	15,16284424	9,543104334	43,49709399	12,18334157	7,100785309	37,28230811	5,873681303	-16,66644352	36,54256432	0,205277449	-0,582470317	1,277114641	-0,036243777	-5,747350835	0,675217852	86,60553306	50,47607777	265,0220506	42,57917908	24,81631229	130,2967715	41,18475829	27,74933913	103,1817475	0,88839895	0,113102292	7,33653864	0,491052069	0,309055548	1,408663024
0,033	8,848	14,67940606	9,317290805	43,50449484	11,87554472	6,847392059	42,20373076	0,47460856	-42,09626578	21,04113666	0,016586946	-1,471209215	0,735360098	0,007845349	-5,749647098	0,690406305	84,41755283	48,67482666	300,0060843	41,5034695	23,93073616	147,4964975	45,92302804	25,96874861	199,2686054	0,488399723	0,113723508	2,599981977	0,475395817	0,301742527	1,408902702
0,034	9,221	13,16713491	9,269134967	25,1555635	10,33679548	6,949008652	21,17270061	4,139618488	-13,04416629	19,43991003	0,144674231	-0,455876484	0,67939933	0,330148694	-1,256736778	0,693598267	73,47932232	49,3971703	150,5065759	36,12574293	24,28587281	73,99580859	37,64175602	26,73684535	82,80107066	0,503213918	0,125889333	2,325848749	0,426420581	0,300182989	0,814668496
