l_rate	time	RMSE_mean	RMSE_min	RMSE_max	MAE_mean	MAE_min	MAE_max	ABS_mean	ABS_min	ABS_max	REL_mean	REL_min	REL_max	R2_mean	R2_min	R2_max	RAE_mean	RAE_min	RAE_max	MAPE_mean	MAPE_min	MAPE_max	sMAPE_mean	sMAPE_min	sMAPE_max	EV_mean	EV_min	EV_max	U2_mean	U2_min	U2_max
0,005	9,039	15,64610752	10,32393553	28,29979797	12,40792978	7,537455088	23,60821015	2,066649767	-10,86180059	20,81449839	0,072226696	-0,379605669	0,727439388	0,049450361	-1,856139902	0,619895183	88,20202295	53,58015384	167,8194453	43,36408538	26,34241583	82,50759462	45,06710823	28,6786849	69,57978041	0,651606758	0,131477998	2,859269233	0,506702658	0,334342939	0,916495226
0,0052	8,948	17,49986513	10,65104013	36,92906567	14,15112676	7,984376515	31,90438319	4,795021764	-13,46326455	30,70565062	0,167579715	-0,470523418	1,073122171	-0,231733375	-3,863505887	0,595427045	100,5935743	56,75710395	226,7929612	49,45632992	27,90434754	111,5016301	48,25745814	30,96529949	83,77189644	0,983515786	0,161389514	5,301940231	0,566737009	0,344936294	1,195955972
0,0054	9,61	15,46074273	10,22282687	25,67863908	12,26987606	7,494298858	21,74270045	-0,583063549	-15,53506813	19,27189855	-0,020377305	-0,542930233	0,67352755	0,082247001	-1,351564052	0,627303926	87,22066523	53,27337689	154,5584314	42,88160575	26,19159048	75,98788317	48,5658343	28,87915219	95,93260851	0,49198834	0,133287809	2,406345694	0,500699578	0,331068513	0,831608415
0,0056	8,96	13,43774559	9,954289496	28,87795032	10,40668016	7,154889814	22,98567598	-1,369001678	-18,66378401	6,727814465	-0,047844811	-0,652274745	0,235128282	0,294332525	-1,974031308	0,646627019	73,97609901	50,86068075	163,3941484	36,36998072	25,00540043	80,33191945	42,28458517	26,98758327	105,9903732	0,31361404	0,147957304	0,622745019	0,435184368	0,32237187	0,935218818
0,0058	8,843	16,78120861	10,45757334	26,13107701	13,53245731	7,882499985	22,30722028	3,121824487	-18,19548562	21,03334925	0,109103667	-0,635908331	0,735087939	-0,101953618	-1,435159576	0,609990987	96,19574988	56,03291255	158,5713321	47,29416143	27,54830244	77,96080585	48,78773316	29,61931895	106,4420982	0,780580497	0,155385404	2,58790854	0,543463158	0,338670829	0,846260717
0,006	8,794	18,32902679	10,15278381	49,21154862	15,19759638	7,26440304	48,02505572	0,141012834	-47,93016221	32,36740597	0,004928213	-1,675096235	1,131198339	-0,499471543	-7,636680819	0,632393584	108,032425	51,63915776	341,387092	53,11360383	25,38813478	167,8412639	56,58995752	27,14234332	199,3173505	0,785376536	0,151765046	5,768373309	0,593589592	0,328800152	1,593726903
0,0062	8,986	14,8707525	10,69181657	22,61731883	11,62890925	8,07881842	18,20912526	1,867562288	-13,1377375	14,00270051	0,06526885	-0,459146675	0,489375997	0,169931384	-0,824294912	0,592323381	82,66433955	57,42844617	129,4399398	40,64151092	28,2344096	63,63850184	42,52148653	31,75600969	78,67030789	0,536420928	0,159011344	1,652612645	0,481592614	0,346256848	0,73246688
0,0064	8,959	15,74701157	8,89490534	27,89078276	12,41319814	6,566442049	23,43904022	0,118043869	-19,05018539	17,15747707	0,004125478	-0,665778966	0,599631295	0,003186515	-1,77417729	0,717839986	88,23947317	46,67768777	166,6168973	43,3824976	22,94885276	81,91636792	48,52722917	25,95371549	114,511603	0,58715557	0,093145561	2,603484455	0,509970458	0,28806348	0,903249178
0,0066	8,818	15,81947037	10,14424199	32,95606509	12,37819987	7,594605038	27,2985377	3,871867936	-8,195994623	23,48583404	0,1353167	-0,28643925	0,820799062	0,007187555	-2,873321174	0,633011878	87,99068727	53,98640542	194,0522142	43,26018325	26,5421474	95,40480484	42,53834213	29,88452402	65,23209594	0,741822241	0,128859404	3,802856837	0,512317052	0,328523524	1,067289468
0,0068	8,787	15,18195168	10,78319982	23,45595984	11,97521458	7,998370962	19,7426805	0,160154846	-17,24568392	12,74543093	0,005597202	-0,602714009	0,445436076	0,126897969	-0,962091357	0,585324753	85,12605806	56,85658377	140,3412486	41,85180256	27,95325629	68,99807606	46,88437265	29,92588615	108,1707425	0,478237091	0,156702892	1,544864037	0,491670868	0,349216315	0,759626455
