epochen	l_rate	time	RMSE_mean	RMSE_min	RMSE_max	MAE_mean	MAE_min	MAE_max	ABS_mean	ABS_min	ABS_max	REL_mean	REL_min	REL_max	R2_mean	R2_min	R2_max	RAE_mean	RAE_min	RAE_max	MAPE_mean	MAPE_min	MAPE_max	sMAPE_mean	sMAPE_min	sMAPE_max	EV_mean	EV_min	EV_max	U2_mean	U2_min	U2_max
26	0,016	236,234	12,30058749	8,749664792	19,10827543	9,935470751	6,644953389	16,50506692	6,738258919	-2,062219875	15,73138388	0,235493302	-0,072071877	0,549791211	0,430854126	-0,302134338	0,726979262	70,62649728	47,23578723	117,3266062	34,72316571	23,22323959	57,68304172	34,59735338	27,63741148	48,96951225	0,516974424	0,134562045	1,41294161	0,398357251	0,283359832	0,618825732
27	0,016	246,622	11,8540245	9,179777317	17,28197407	9,487513795	7,036438029	14,51450557	6,394885462	-2,86554717	12,98135768	0,22349285	-0,100147111	0,453681406	0,480564801	-0,065122367	0,699477427	67,44218609	50,01866381	103,17666	33,15761496	24,591427	50,72629115	33,35786207	27,15234873	44,67246544	0,45795849	0,114138779	1,082355993	0,383895209	0,297289122	0,559680558
28	0,016	255,138	12,3861135	8,483165277	21,3523414	9,982986996	6,284561833	18,26390736	7,039387425	1,100542263	17,17038032	0,246017347	0,038462507	0,600082247	0,416868842	-0,62593738	0,743357449	70,96426748	44,67393648	129,8293595	34,88922875	21,96371842	63,8299581	34,47552334	25,3797804	52,0236308	0,532589939	0,153028966	1,73031862	0,401127029	0,274729187	0,691500306
29	0,016	263,997	11,46900464	8,622567859	15,44234964	9,149627356	6,573369009	12,84037455	5,523602329	-2,852346544	11,15653136	0,193042649	-0,099685766	0,389906122	0,515559264	0,149568048	0,734853409	65,04031342	46,7269282	91,2760654	31,97674623	22,97306158	44,87542305	33,18722936	26,60899165	40,75095558	0,413071339	0,11831491	0,842569346	0,371426256	0,27924377	0,500103914
30	0,016	273,843	12,23626556	8,802222435	29,47500529	9,868635744	6,709667795	25,85432883	6,832090433	-0,68981971	25,38235895	0,23877259	-0,024108293	0,887080117	0,393463551	-2,098279473	0,723689439	70,15139926	47,69581091	183,7860259	34,48958613	23,44940794	90,35748447	33,96086071	26,45055161	64,57644364	0,568371298	0,152358366	3,480584468	0,396274171	0,285061923	0,954554575
31	0,016	282,688	11,34264705	8,573327878	15,86657986	9,02993304	6,469710173	13,3019336	6,010982131	1,01417528	11,89349898	0,210075933	0,035444094	0,415662173	0,52974266	0,102200312	0,737873051	64,18946392	45,99006724	94,55706741	31,55843031	22,61078755	46,48851135	32,14081285	26,80797373	42,14479946	0,407529392	0,156924096	0,910054961	0,367334137	0,277649122	0,513842703
32	0,016	291,359	12,92292687	8,83665102	19,51493905	10,48280841	6,725831987	16,39399218	7,940016789	0,820903701	15,01134581	0,277493161	0,028689506	0,524626825	0,37586996	-0,358148332	0,721523717	74,51725823	47,81071441	116,5370291	36,63603895	23,50589967	57,29485009	35,41115736	27,17363624	48,14403528	0,582150038	0,164110215	1,394558709	0,418511849	0,286176901	0,631995624
33	0,016	300,782	11,14398727	8,863739327	16,28282091	8,840805987	6,613105371	13,77985521	5,651835842	0,923358498	12,44080759	0,197524242	0,032270167	0,43478989	0,539199559	0,054476997	0,71981379	62,84505039	47,00939494	97,95438293	30,89745609	23,11193494	48,15878461	31,74223714	25,83477251	43,32807543	0,397545145	0,19098904	0,974515599	0,360900496	0,287054161	0,527322762
34	0,016	310,282	11,50870175	8,560417692	17,61917756	9,157818463	6,312777771	14,82612039	6,168117179	0,252378333	13,72308158	0,215567596	0,008820291	0,479603682	0,508377523	-0,107092913	0,738661907	65,09854007	44,87451005	105,3917804	32,00537307	22,06232942	51,81534403	32,29845934	24,83994854	44,99088532	0,432578842	0,156408503	1,14464182	0,372711856	0,277231023	0,570600968
35	0,016	319,083	11,05785522	8,587194717	17,98468964	8,730323321	6,450988266	15,16592161	5,379548524	-0,252922514	14,32208394	0,188008157	-0,00883931	0,500538028	0,546484929	-0,153502929	0,737024416	62,05968209	45,85698219	107,8072643	30,51133368	22,54535695	53,00290469	31,45729579	26,72305605	45,69200314	0,384371917	0,13690523	1,206566172	0,358111091	0,278098203	0,582438158
